State	City	Institution	Reciprocity
CANADA	Calgary -Alberta	Wilder Institute's Calgary Zoo	50%
	Granby - Quebec	Zoo de Granby	50%
	Toronto	Toronto Zoo	50%
	Winnipeg - Manitoba	Assiniboine Park Zoo	50%
COLOMBIA	Cali Valle del Cauca	Zoológico de Cali	50%
MEXICO	Puebla	Africam Safari Park	100% OR 50%
Alabama	Birmingham	Birmingham Zoo	50%
Alaska	Seward	Alaska SeaLife Center	50%
Arizona	Phoenix	Phoenix Zoo	50%
	Tempe	SEA LIFE Arizona Aquarium	50%
	Tucson	Reid Park Zoo	50%
Arkansas	Little Rock	Little Rock Zoo	50%
California	Atascadero	Central Coast Zoo	50%
	Eureka	Sequoia Park Zoo	50%
	Fresno	Fresno Chaffee Zoo	50%
	Los Angeles	Los Angeles Zoo	50%
	Oakland	Oakland Zoo	50%
	Sacramento	Sacramento Zoo	50%
	San Francisco	San Francisco Zoological Gardens	50%
	San Jose	Happy Hollow Park & Zoo	50%
	San Mateo	CuriOdyssey	50%
	San Pedro	Cabrillo Marine Aquarium	100% OR 50%
	Santa Ana	Santa Ana Zoo	100% OR 50%
	Santa Barbara	Santa Barbara Zoo	50%
Colorado	Pueblo	Pueblo Zoo	50%
	Westminster	Butterfly Pavilion	50%
Connecticut	Bridgeport	Connecticut's Beardsley Zoo	50%
DC	Washington	Smithsonian National Zoological Park	FREE TO PUBLIC 15% discount in gift shop
Delaware	Wilmington	Brandywine Zoo	50%
Florida	Gainesville	Santa Fe College Teaching Zoo	50%
	Jacksonville	Jacksonville Zoo & Gardens	50%
	Melbourne	Brevard Zoo	50%
	Miami	Zoo Miami	50%
Florida	Orlando	SEA LIFE Orlando Aquarium	50%
	Sanford	Central Florida Zoo & Botanical Gardens	50%
	Sanibel	Bailey-Matthews National Shell Museum & Aquarium	50%
	Sarasota	Mote Marine Aquarium	50%
	St. Augustine	Saint Augustine Alligator Farm	50%
	Tampa	ZooTampa at Lowry Park	50%
	Tampa	The Florida Aquarium	50%
	West Palm Beach	Palm Beach Zoo & Conservation Society	50%
Georgia	Atlanta	Zoo Atlanta	50%
Idaho	Boise	Zoo Boise	100% OR 50%
	Idaho Falls	Idaho Falls Zoo at Tautphaus Park	100% OR 50%
Illinois	Bloomington	Miller Park Zoo	100% OR 50%
	Chicago	Lincoln Park Zoo	FREE TO PUBLIC 10% discount in gift shop
	Chicago	John G. Shedd Aquarium	50% (Limit 2)
	Decatur	Scovill Zoo	50%
	Peoria	Peoria Zoo	100% OR 50%
	Wheaton	Cosley Zoo	100% OR 50%
Indiana	Evansville	Mesker Park Zoo & Botanic Garden	100% OR 50%
	Fort Wayne	Fort Wayne Children's Zoo	50%
	South Bend	Potawatomi Zoo	50%
Iowa	Des Moines	Blank Park Zoo	50%
	Dubuque	National Mississippi River Museum & Aquarium	50%
Kansas	Emporia	David Traylor Zoo of Emporia	100% OR 50%
	Garden City	Lee Richardson Zoo	FREE TO PUBLIC FREE DRIVE-THRU, 10% discount in gift shops
	Hutchinson	Hutchinson Zoo	100% OR 50%
	Manhattan	Sunset Zoo	100% OR 50%
	Salina	Rolling Hills Zoo	50%
	Topeka	Topeka Zoo	50%
	Wichita	Sedgwick County Zoo	50%
Kentucky	Louisville	The Louisville Zoo	50%
Louisiana	Baton Rouge	BREC's Baton Rouge Zoo	50%
Maryland	Baltimore	The Maryland Zoo in Baltimore	50%
Massachusetts	Attleboro	Capron Park Zoo	100% OR 50%
	Boston	Franklin Park Zoo (Zoo New England)	50%
	Boston	Museum of Science	100% OR 50%
	New Bedford	Buttonwood Park Zoo	100% OR 50%
	Stoneham	Walter D. Stone Memorial Zoo (Zoo New England)	50%
Michigan	Auburn Hills	SEA Life Michigan Aquarium	50%
	Battle Creek	Binder Park Zoo	100% OR 50%
	Detroit	Detroit Zoo	50%
	Grand Rapids	John Ball Zoological Garden	100% OR 50%
	Lansing	Potter Park Zoological Gardens	100% OR 50%
	Saginaw	Saginaw Children’s Zoo	100% OR 50%
Minnesota	Apple Valley	Minnesota Zoological Garden	50%
	Duluth	Lake Superior Zoo	50%
	St. Paul	Como Park Zoo and Conservatory	Free TO PUBLIC 15% discount in gift shop
Missouri	Eureka	Endangered Wolf Center	50% Endangered Species Tour and Evening Wolf Howl
	Kansas City	Kansas City Zoo & Aquarium	50%
